PL.,   Lifters,BY,Team,Weight,WF,Lot,Squat1,Squat2,Squat3,Best Squat,Bench1,Bench2,Bench3,Best Bench,Dead1,Dead2,Dead3,Best Deadlift,Total Tom,TOTAL,W.pts.,Pts.,Year,Sex,Division,Sort
5,Kani Rie,1979,JPN,46.36,"13,582",1,102.5,107.5,110,,70,72.5,75,,140,147.5,152.5,,0,335,455,6,2015,F,Classic,354
7,Kankus Johanna,1984,FIN,76.03,0.9426,2,167.5,175,177.5,,100,105,107.5,,160,170,175,,0,450,424.17,4,2015,F,Classic,421
6,Khoury Najat,1982,AUS,123.56,0.7955,13,195,205,212.5,,77.5,82.5,87.5,,190,200,205,,0,505,401.73,5,2015,F,Classic,430
5,Kitamura Mayumi,1967,JPN,62.72,"10,776",8,190,200,205,,160,167.5,172,,175,185,195,,0,550,592.68,6,2015,F,Open,174
3,Klymenko Kateryna,1985,UKR,51.69,"12,524",10,182.5,185,185,,117.5,122.5,125,,170,175,185,,0,495,619.94,8,2015,F,Open,143
7,Kostiainen Anna-Kaisa,1991,FIN,71.48,0.9808,5,140,140,,,70,75,80,,170,177.5,182.5,,0,392.5,384.96,4,2015,F,Classic,410
12,Kour Gill,1984,IND,67.17,"10,242",9,60,70,85,,30,35,40,,65,75,80,,0,190,194.6,1,2015,F,Open,191
6,Kriel Antoinette,1971,RSA,54.72,"11,981",3,117.5,125,130,,85,90,92.5,,145,152.5,,,0,360,431.32,5,2015,F,Classic,376
7,Kristensen Linda,1977,NOR,71.35,0.982,10,195,202.5,207.5,,132.5,137.5,142.5,,172.5,177.5,180,,0,522.5,513.1,4,2015,F,Open,186
15,Krumina Zane,1990,LAT,56.84,"11,630",8,90,97.5,100,,50,55,57.5,,105,110,110,,0,265,308.19,1,2015,F,Classic,385
6,Kryukova Ekaterina,1985,KAZ,71.35,0.982,8,200,210,217.5,,130,137.5,142.5,,180,190,195,,0,542.5,532.74,5,2015,F,Open,185
2,Kucherenko Elena,1992,RUS,104.03,0.8236,17,250,250,260,,162.5,170,175,,207.5,220,225,,0,655,539.46,9,2015,F,Open,207
7,Le Panse Benedicte,1978,FRA,46.75,"13,501",4,110,115,115,,65,70,72.5,,125,132.5,137.5,,0,312.5,421.91,4,2015,F,Classic,356
1,Loft Sofia,1990,SWE,51.14,"12,627",17,135,145,147.5,,85,90,92.5,,160,170,172.5,,0,412.5 -w,520.86,12,2015,F,Classic,360
5,Lopez Rowena,1977,USA,56.66,"11,658",4,175,185,185,,115,122.5,125,,175,190,192.5,,0,485,565.41,6,2015,F,Open,158
1,Lough Bonica,1988,USA,130.29,0.788,14,247.5,260,260,,132.5,142.5,145.5,,207.5,222.5,236.5,,0,615.5 -w,485.01,12,2015,F,Classic,425
10,Macnab Anna,1984,GBR,105.92,0.82,20,177.5,187.5,192.5,,65,70,75,,175,187.5,192.5,,0,460,377.2,1,2015,F,Classic,434
—,Martin Vanessa,1976,FRA,51.49,"12,561",8,165,170,170,,,,,,,,,,0,DSQ,—,—,2015,F,Open,152
5,Martin Yvelise,1982,FRA,46.62,"13,528",3,135,140,145,,82.5,87.5,92.5,,120,125,127.5,,0,362.5,490.39,6,2015,F,Open,137
9,Mathew Neha,1998,IND,91.87,0.8569,19,185,190,190,,50,55,62.5,,150,160,160,,0,400,342.76,2,2015,F,Open,214
7,Meadows Lakshmi,1975,USA,113.15,0.8084,15,225,235,242.5,,120,120,130,,192.5,205,212.5,,0,560,452.7,4,2015,F,Open,212
4,Medvedeva Yulia,1986,RUS,66.68,"10,297",7,215,225,230,,157.5,167.5,177.5,,185,200,205,,0,592.5,610.1,7,2015,F,Open,183
9,Menegucci Thais,1980,BRA,70.17,0.9932,8,135,142.5,147.5,,70,75,80,,150,160,160,,0,367.5,365,2,2015,F,Classic,412
4,Mesheryakova Tatyana,1974,RUS,95.7,0.8443,21,185,195,200,,120,125,127.5,,185,197.5,202.5,,0,517.5 -w1,436.93,7,2015,F,Classic,428
9,Monaco Roberta,1975,ITA,51.71,"12,520",17,140,147.5,155,,80,82.5,82.5,,147.5,155,157.5,,0,392.5,491.41,2,2015,F,Open,149
5,Murray Louise,1988,GBR,56.84,"11,630",9,130,137.5,142.5,,80,85,87.5,,142.5,147.5,152.5,,0,370,430.31,6,2015,F,Classic,375
8,Murray Louise,1988,GBR,56.91,"11,618",15,162.5,170,175,,95,102.5,102.5,,170,177.5,177.5,,0,447.5,519.91,3,2015,F,Open,161
10,Muto Giulia,1987,RSA,51.35,"12,588",11,95,105,112.5,,50,55,57.5,,110,120,127.5,,0,287.5,361.9,1,2015,F,Classic,369
7,Najera Juanita,1981,USA,51.12,"12,631",13,150,160,165,,85,92.5,97.5,,150,160,160,,0,407.5,514.71,4,2015,F,Open,147
9,Nokua Katariina,1973,FIN,101.74,0.8285,10,185,207.5,207.5,,97.5,100,,,180,192.5,202.5,,0,462.5,383.18,2,2015,F,Classic,433
3,Noviana Sari,1984,INA,60.5,"11,078",2,200,210,225,,120,130,130,,200,215,220,,0,570,631.45,8,2015,F,Open,172
4,Ochoa Vargas Vilma,1980,ECU,54.81,"11,966",14,205,215,220,,100,107.5,112.5,,165,177.5,185,,0,510,610.27,7,2015,F,Open,157
3,Orobets Inna,1971,UKR,107.88,0.8165,21,240,245,250,,180,187.5,192.5,,200,207.5,212.5,,0,655,534.81,8,2015,F,Open,208
2,Otchenashko Aleksandra,1991,BLR,46.42,"13,569",8,130,137.5,140,,67.5,70,72.5,,140,145,150,,0,362.5 -c,491.88,9,2015,F,Classic,351
13,Patil Sushama M.,1986,IND,65.42,"10,441",4,50,50,,,30,,,,55,,,,0,135,140.95,1,2015,F,Open,192
6,Peti Barbara,1976,ITA,45.99,"13,659",6,122.5,127.5,127.5,,70,75,80,,125,132.5,140,,0,337.5,460.99,5,2015,F,Open,138
3,Petroczki Magdolna,1968,HUN,51.59,"12,543",16,130,135,140,,80,85,85,,155,162.5,165,,0,385,482.91,8,2015,F,Classic,362
2,Pettersson Emelie,1980,SWE,110.32,0.8126,11,200,210,215,,120,125,127.5,,205,210,210,,0,547.5,444.9,9,2015,F,Classic,426
8,Phasey Kelly,1976,GBR,117.39,0.8028,22,180,190,200,,122.5,130,137.5,,150,160,167.5,,0,497.5,399.39,3,2015,F,Open,213
8,Pizniak Natalia,1992,UKR,62.94,"10,747",3,170,180,180,,110,115,120,,175,187.5,,,0,460,494.36,3,2015,F,Open,177
14,Premji Suzan,1984,NZL,53.74,"12,152",6,85,85,95,,50,55,60,,115,125,132.5,,0,287.5,349.37,1,2015,F,Classic,384
3,Puddicome Steph,1986,CAN,46.57,"13,538",5,122.5,130,135,,60,65,65,,140,145,147.5,,0,347.5,470.45,8,2015,F,Classic,352
2,Pulsan Linda,1971,PNG,70.69,0.9882,9,177.5,182.5,185,,87.5,92.5,97.5,,187.5,195,195,,0,467.5,461.98,9,2015,F,Classic,405
4,Rantala Hanna,1982,FIN,46.9,"13,470",2,100,107.5,110,,85,90,91.5,,127.5,140,145,,0,341.5,460,7,2015,F,Classic,353
8,Rebecca Heath,1977,GBR,45.55,"13,752",7,87.5,92.5,97.5,,55,57.5,60,,107.5,115,122.5,,0,280,385.06,3,2015,F,Classic,357
8,Reitmann Judith,1967,URU,93.43,0.8515,17,180,190,200,,95,102.5,107.5,,175,182.5,182.5,,0,477.5,406.59,3,2015,F,Classic,432
1,Ribic Priscilla,1972,USA,71.55,0.9801,11,217.5,220,230,,137.5,147.5,155,,222.5,222.5,247.5,,0,622.5,610.11,12,2015,F,Open,180
8,Richardson Louise,1977,GBR,68.44,"10,106",10,140,147.5,152.5,,65,70,72.5,,150,160,165,,0,382.5,386.56,3,2015,F,Classic,411
6,Rieber Joanna,1976,CAN,50.92,"12,669",19,112.5,120,125,,80,85,87.5,,137.5,145,147.5,,0,350,443.42,5,2015,F,Classic,365
7,Ripley Robin,1986,CAN,52,"12,466",14,120,125,127.5,,72.5,75,77.5,,135,145,145,,0,337.5,420.73,4,2015,F,Classic,366
10,Roeder Vivien,1988,GER,71.16,0.9837,5,152.5,155,162.5,,142.5,142.5,155,,152.5,162.5,162.5,,0,457.5,450.04,1,2015,F,Open,189
6,Ruud Inger Johanne,1991,NOR,83.33,0.8953,2,227.5,227.5,235,,140,145,147.5,,197.5,202.5,202.5,,0,585,523.75,5,2015,F,Open,199
8,Sakamaki Yoriko,1990,JPN,50.94,"12,665",18,130,130,140,,95,102.5,107.5,,140,150,155,,0,397.5,503.43,3,2015,F,Open,148
1,Salnikova Natalia,1986,RUS,50.96,"12,662",12,192.5,205,210,,125,135,,,167.5,180,187.5,,0,525,664.75,12,2015,F,Open,141
11,Sawant Mohini,1985,IND,50.62,"12,727",16,100,100,120,,50,60,65,,100,115,130,,0,300,381.81,1,2015,F,Open,151
3,Schwengl-Forsthuber Ilka,1965,AUT,46.68,"13,515",2,132.5,140,145,,105,105,105,,140,145,150,,0,395,533.84,8,2015,F,Open,135
7,Shotton-Gale Charlotte,1983,GBR,83.58,0.894,1,190,200,210,,117.5,122.5,130,,185,197.5,200,,0,540,482.76,4,2015,F,Open,200
14,Sobiech Ewelina,1989,POL,62.44,"10,813",15,115,120,125,,62.5,67.5,70,,140,150,152.5,,0,337.5,364.94,1,2015,F,Classic,401
1,Soloviova Larysa,1978,UKR,63,"10,740",6,215,230,235,,162.5,171,171,,210,220,230,,0,617.5,663.2,12,2015,F,Open,170
1,Sri Hartati,1984,INA,56.34,"11,710",2,200,210,220,,125,125,135,,180,190,192.5,,0,537.5,629.41,12,2015,F,Open,154
11,Stenholdt Olsen Tanja,1990,DEN,62.04,"10,866",13,115,122.5,127.5,,62.5,67.5,70,,147.5,160,167.5,,0,357.5,388.46,1,2015,F,Classic,398
4,Stinn Rhaea,1988,CAN,71.69,0.9789,7,170,170,177.5,,107.5,115,117.5,,172.5,180,185,,0,465,455.19,7,2015,F,Classic,407
1,Strik Ielja,1973,NED,83.71,0.8933,5,185,197.5,207,,127.5,132.5,136,,180,190,200,,0,523.5 -w1,467.64,12,2015,F,Classic,415
10,Stuetz Silvia,1978,GER,62.59,"10,793",1,105,110,110,,80,82.5,85,,155,162.5,170,,0,362.5,391.25,1,2015,F,Classic,397
9,Stuetz Silvia,1978,GER,66.64,"10,301",13,162.5,167.5,180,,100,105,107.5,,172.5,185,200,,0,457.5,471.27,2,2015,F,Open,188
3,Su Fang-Yun,1992,TPE,113.68,0.8077,18,220,227.5,232.5,,107.5,110,112.5,,180,187.5,195,,0,540.0 -wj,436.16,8,2015,F,Classic,427
6,Svensson Ellinor,1986,SWE,82.56,0.8996,9,160,172.5,177.5,,77.5,85,90,,175,185,190,,0,452.5,407.07,5,2015,F,Classic,420
3,Tavares Cicera,1976,BRA,62.77,"10,769",14,157.5,165,167.5,,80,85,85,,180,185,185,,0,432.5,465.76,8,2015,F,Classic,390
4,Tavares Cicera,1976,BRA,62.78,"10,768",10,215,230,235,,115,120,125,,207.5,212.5,212.5,,0,562.5,605.7,7,2015,F,Open,173
10,Terada Yukie,1974,JPN,56.43,"11,696",1,157.5,165,165,,87.5,92.5,95,,162.5,175,180,,0,440,514.62,1,2015,F,Open,163
1,Thompson Jennifer,1973,USA,61.4,"10,952",3,130,140,142.5,,125,137.5,140.5,,160,190,197.5,,0,480.5 -w,526.24,12,2015,F,Classic,388
9,Tichy Alexandra,1990,AUT,82.45,0.9003,10,170,182.5,190,,122.5,130,,,165,177.5,187.5,,0,490,441.15,2,2015,F,Open,202
5,Timmers Ankie,1986,NED,71.61,0.9796,1,200,210,215,,155,160,162.5,,195,207.5,212.5,,0,587.5,575.51,6,2015,F,Open,184
1,Timoshchuk Valeria,1988,RUS,81.14,0.9079,3,250,260,260,,155,165,170,,205,205,212.5,,0,642.5,583.33,12,2015,F,Open,194
3,Tishakova Yevheniia,1989,UKR,80.11,0.9143,5,235,247.5,252.5,,127.5,132.5,135,,212.5,217.5,220,,0,607.5,555.44,8,2015,F,Open,196
11,Vahasantanen Marjaana,1976,FIN,56.76,"11,642",4,115,120,125,,65,67.5,70,,130,135,140,,0,335,390.01,1,2015,F,Classic,381
5,Van der Meulen Brenda,1978,NED,110.55,0.8122,14,210,225,230,,185,192.5,192.5,,175,182.5,187.5,,0,610,495.44,6,2015,F,Open,210
12,Van Jaarsveld Danel,1977,RSA,61.93,"10,880",5,127.5,,,,75,80,85,,145,,,,0,352.5,383.52,1,2015,F,Classic,399
2,Vasquez Maria Luisa,1983,PUR,46.35,"13,584",5,177.5,182.5,187.5,,95,100,100,,152.5,160,167.5,,0,442.5,601.09,9,2015,F,Open,134
4,Vavilova Yulia,1979,RUS,56.99,"11,606",13,137.5,145,150,,75,80,85,,145,155,162.5,,0,392.5,455.54,7,2015,F,Classic,374
5,Volkova Maria,1972,RUS,70.71,0.988,3,155,160,160,,105,107.5,112.5,,145,152.5,160,,0,420,414.96,6,2015,F,Classic,408
3,von Weissenberg Isabella,1989,SWE,71.3,0.9824,1,170,177.5,180,,82.5,90,92.5,,175,190,192.5,,0,465,456.82,8,2015,F,Classic,406
7,Vorotnikova Olga,1975,RUS,61.99,"10,872",10,137.5,142.5,142.5,,90,95,97.5,,167.5,180,185,,0,417.5,453.91,4,2015,F,Classic,394
5,Vuohijoki Anni,1988,FIN,62.48,"10,807",7,157.5,157.5,162.5,,80,82.5,82.5,,180,192.5,192.5,,0,422.5,456.6,6,2015,F,Classic,392
1,Walford Kimberly,1978,USA,69.02,"10,046",4,175,175,187.5,,105,110,112.5,,222.5,235,240.5,,0,528,530.43,12,2015,F,Classic,404
11,Wildeman Sandra,1979,NED,56.65,"11,660",9,155,162.5,167.5,,97.5,102.5,102.5,,142.5,152.5,157.5,,0,422.5,492.63,1,2015,F,Open,164
4,Williams Tasha,1973,NZL,81.51,0.9057,6,165,172.5,172.5,,95,97.5,100,,185,197.5,202.5,,0,462.5,418.89,7,2015,F,Classic,418
2,Wu Hui-Chun,1986,TPE,56.63,"11,663",10,130,130,137.5,,90,97.5,100,,170,177.5,177.5,,0,407.5,475.27,9,2015,F,Classic,372
2,Wu Hui-Chun,1986,TPE,56.15,"11,741",7,190,200,205,,120,125,130,,190,190,195,,0,530,622.27,9,2015,F,Open,155
16,Ylinen Milla,1976,FIN,56.75,"11,644",1,100,110,,,60,67.5,67.5,,45,57.5,90,,0,260,302.74,1,2015,F,Classic,386
2,Zubko Sniazhana,1991,BLR,79.28,0.9197,3,177.5,185,192.5,,85,90,92.5,,190,200,207.5,,0,492.5,452.95,9,2015,F,Classic,416
—,ABD Rabou Khaled,1968,EGY,92.41,0.6301,13,350,350,350,,220,220,,,,,,,0,Out,—,—,2013,M,Open,880
—,Abdou Hany,1972,EGY,99.85,0.609,14,100,,,,215,215,215,,,,,,0,Out,—,—,2013,M,Open,893
5,Adov Borislav,1987,BUL,92.48,0.6299,13,260,270,275,,200,207.5,210,,280,300,,,0,782.5,492.9,6,2015,M,Classic,277
8,Ahmed Fahmy,1989,EGY,118.95,0.5761,14,300,350,360,,200,220,240,,300,330,335,,0,905,521.37,3,2013,M,Open,902
13,Ahmed Mohamed,1985,EGY,117.14,0.5783,9,250,300,330,,240,265,265,,280,310,320,,0,850,491.56,1,2013,M,Open,907
12,Akutsu Takahito,1982,JPN,101.37,0.6054,19,310,310,325,,235,240,245,,260,280,300,,0,870,526.66,1,2012,M,Open,1289
9,Akutsu Takahito,1982,JPN,102.14,0.6036,12,315,330,330,,250,260,270,,270,290,290,,0,880,531.17,2,2013,M,Open,890
11,Akutsu Takahito,1982,JPN,102.02,0.6039,2,315,315,315,,255,262.5,262.5,,270,285,302.5,,0,855,516.33,1,2014,M,Open,523
12,Akutsu Takahito,1982,JPN,102.69,0.6024,21,325,325,340,,255,262.5,270,,262.5,282.5,302.5,,0,912.5,549.69,1,2015,M,Open,84
11,Alzaabi Faisal,1978,UAE,84.95,0.6585,0,140,140,160,,170,180,185,,180,200,,,0,520,342.45,1,2013,M,Classic,1066
12,Alzaabi Faisal,1978,UAE,81.45,0.6752,19,140,142.5,142.5,,175,182.5,182.5,,160,162.5,162.5,,0,475,320.7,1,2014,M,Classic,694
1,Andryukhin Mikhail,1970,RUS,65.9,0.7862,10,230,240,242.5,,132.5,137.5,140,,252.5,265,270,,0,642.5,505.13,12,2014,M,Classic,657
9,Antonov Yuriy,1991,UZB,82.12,0.6718,1,230,250,265,,160,182.5,195,,230,250,250,,0,710,476.98,2,2013,M,Open,860
—,Anuar Ulan,1993,KAZ,82.48,0.6699,17,330,350,350,,230,240,240,,310,330,337.5,,0,DD,—,—,2014,M,Open,491
10,Arakawa Takayuki,1978,JPN,87.76,0.6469,20,280,300,310,,215,225,235,,270,290,300,,0,825,533.65,1,2012,M,Open,1265
13,Arakawa Takayuki,1978,JPN,89.6,0.6398,9,280,300,307.5,,220,230,235,,270,290,300,,0,827.5,529.43,1,2013,M,Open,875
12,Arakawa Takayuki,1978,JPN,90.4,0.637,3,290,305,305,,220,230,240,,275,295,305,,0,840,535.08,1,2014,M,Open,504
—,Aryanto Viki,1989,INA,65.89,0.7863,9,270,295,305,,170,170,180,,270,270,270,,0,Out,—,—,2013,M,Open,834
14,Asaturov Sergey,1984,ARM,81.26,0.6761,10,190,192.5,205,,175,180,182.5,,200,220,230,,0,590,398.9,1,2015,M,Classic,269
6,Baali Kader,1968,FRA,73.64,0.7218,9,277.5,277.5,282.5,,185,190,192.5,,272.5,272.5,282.5,,0,745,537.75,5,2012,M,Open,1222
7,Baali Kader,1968,FRA,73.9,0.72,1,225,232.5,237.5,,147.5,152.5,155,,265,277.5,282.5,,0,657.5/w1/,473.4,4,2014,M,Classic,674
6,Baali Kader,1968,FRA,73.62,0.7221,15,280,287.5,287.5,,192.5,197.5,197.5,,275,285,290,,0,760,548.8,5,2014,M,Open,466
—,Baardtvet Hans Magne,1983,NOR,156.52,0.55,19,395,395,407.5,,310,310,315,,335,347.5,360,,0,Out,—,—,2012,M,Open,1331
5,Baardtvet Hans Magne,1983,NOR,159.5,0.5485,14,405,405,405,,312.5,320,325,,340,352.5,362.5,,0,1082.5,593.75,6,2013,M,Open,916
—,Baardtvet Hans Magne,1983,NOR,165.86,0.5452,8,405,415,420,,325,325,325,,340,350,367.5,,0,DSQ,—,—,2014,M,Open,563
4,Baartvedt Hans Magne,1983,NOR,168.7,0.5438,6,410,420,420,,325,332.5,337.5,,340,352.5,362.5,,0,1110,603.62,7,2015,M,Open,116
9,Bak Sune,1974,DEN,104.3,0.599,11,320,330,335,,237.5,245,250,,295,305,312.5,,0,892.5,534.6,2,2012,M,Open,1286
11,Bak Sune,1974,DEN,104.95,0.5977,19,235,245,252.5,,182.5,190,192.5,,275,287.5,292.5,,0,722.5,431.84,1,2013,M,Classic,1081
8,Bak Sune,1974,DEN,104.27,0.599,2,315,325,332.5,,242.5,242.5,252.5,,300,312.5,320,,0,890,533.11,3,2013,M,Open,889
5,Bakkelund Kjell Egil,1988,NOR,82,0.6724,14,325,337.5,342.5,,235,240,245,,300,312.5,317.5,,0,900,605.16,6,2012,M,Open,1238
1,Bakkelund Kjell Egil,1988,NOR,82.58,0.6695,11,337.5,347.5,352.5,,245,252.5,252.5,,317.5,327.5,337.5,,0,942.5/w/,631,12,2013,M,Open,852
5,Baller Matthew,1985,USA,139.6,0.559,4,292.5,312.5,325,,240,252.5,260.5,,272.5,287.5,297.5,,0,870.5,486.61,6,2014,M,Classic,739
8,Banks Benjamin,1984,GBR,117.11,0.5783,42,320,335,335,,240,250,260,,300,320,327.5,,0,907.5,524.79,3,2012,M,Open,1306
14,Banks Benjamin,1984,GBR,112.25,0.585,3,290,305,310,,240,247.5,252.5,,290,305,310,,0,847.5,495.79,1,2013,M,Open,908
3,Barannik Mykola,1989,UKR,73.73,0.7212,4,315,325,332.5,,215,225,230,,270,277.5,290,,0,832.5,600.4,8,2015,M,Open,25
9,Bareng Jonathan,1983,USA,65.6,0.7891,8,237.5,245,247.5,,160,165,170,,225,232.5,242.5,,0,652.5,514.88,2,2012,M,Open,1211
1,Barkhatov Maxim,1981,RUS,119.91,0.575,41,400,400,410,,270,277.5,282.5,,340,360,360,,0,1052.5,605.17,12,2012,M,Open,1299
5,Bast Jan,1977,GER,92.26,0.6306,23,315,322.5,325,,260,265,270,,285,290,297.5,,0,887.5,559.67,6,2012,M,Open,1260
9,Bast Jan,1977,GER,92.85,0.6287,15,317.5,327.5,335,,260,267.5,267.5,,290,305,312.5,,0,892.5,561.11,2,2013,M,Open,871
9,Bast Jan,1977,GER,92.58,0.6295,4,315,322.5,327.5,,257.5,262.5,265,,292.5,300,307.5,,0,900,566.55,2,2014,M,Open,501
—,Bataa Chimedtseren,1981,MGL,117.48,0.5778,4,310,330,330,,300,300,300,,,,,,0,DSQ,—,—,2014,M,Open,552
10,Bataa Chimedtseren,1981,MGL,119.47,0.5755,1,300,,,,307.5,315,317.5,,250,250,250,,0,867.5,499.25,1,2015,M,Open,105
7,Batgerel Bayarbaatar,1991,MGL,65.59,0.7892,11,240,250,,,195,202.5,202.5,,210,215,225,,0,657.5,518.9,4,2015,M,Open,18
19,Batsukh Gantulga,1981,MGL,114.2,0.5821,7,320,330,330,,215,225,225,,250,260,265,,0,805,468.59,1,2014,M,Open,551
—,Batsukh Gantulga,1981,MGL,114.54,0.5817,15,330,330,330,,215,225,230,,250,270,,,0,DSQ,—,—,2015,M,Open,107
12,Beermann Jacob,1989,DEN,73.5,0.7228,3,275,285,285,,157.5,162.5,165,,272.5,285,285,,0,710,513.19,1,2013,M,Open,847
8,Beermann Jacob,1989,DEN,73.44,0.7235,14,290,297.5,302.5,,155,160,165,,280,292.5,300,,0,742.5,537.2,3,2014,M,Open,468
10,Beermann Jacob,1989,DEN,73.39,0.7236,14,290,297.5,297.5,,162.5,167.5,170,,277.5,287.5,295,,0,737.5,533.65,1,2015,M,Open,32
—,Belkesir Sofiane,1984,FRA,104.1,0.5994,4,360,360,372.5,,235,235,235,,,,,,0,Out,—,—,2012,M,Open,1295
5,Belkesir Sofiane,1984,FRA,104.5,0.5986,17,282.5,292.5,295,,192.5,200,200,,305,320,320,,0,780,466.91,6,2013,M,Classic,1075
4,Belkesir Sofiane,1984,FRA,104.45,0.5987,13,285,290,300,,195,205,207.5,,315,332.5,347.5,,0,837.5,501.41,7,2014,M,Classic,713
5,Belkesir Sofiane,1984,FRA,104.48,0.5986,12,365,380,382.5,,255,260,262.5,,330,347.5,360,,0,987.5,591.12,6,2014,M,Open,517
1,Belkesir Sofiane,1984,FRA,104.49,0.5986,11,280,290,290,,192.5,202.5,207.5,,315,330,343,,0,827.5,495.34,12,2015,M,Classic,293
3,Belkesir Sofiane,1984,FRA,104.7,0.5982,24,365,377.5,385,,255,262.5,267.5,,340,352.5,360,,0,1012.5,605.68,8,2015,M,Open,75
1,Belkin Yury,1990,RUS,103.56,0.6005,7,300,310,315,,200,210,215,,330,337.5,350,,0,867.5/w/,520.92,12,2014,M,Classic,710
2,Belkin Yury,1990,RUS,102.78,0.6021,5,405,405,405,,265,272.5,280,,347.5,357.5,365,,0,1042.5,627.69,9,2014,M,Open,514
4,Bell Ian,1992,USA,91.88,0.6318,6,350,365,372.5,,210,220,220,,360,360,370,,0,952.5,601.79,7,2014,M,Open,496
3,Berglund Per,1967,SWE,74,0.7193,23,210,220,230,,160,167.5,172.5,,250,260,267.5,,0,670,481.93,8,2013,M,Classic,1033
5,Berglund Per,1967,SWE,73.5,0.7228,8,215,230,235,,167.5,175,175,,250,260,265,,0,675,487.89,6,2014,M,Classic,672
—,Berglund Per,1967,SWE,73.08,0.7258,10,,,,,,,,,,,,,0,DSQ,—,—,2015,M,Classic,254
10,Berke Jordan,1989,USA,72.85,0.7274,10,197.5,210,217.5,,150,160,165,,232.5,245,250,,0,622.5,452.84,1,2014,M,Classic,677
3,Bilican Orhan,1978,BEL,119.05,0.576,6,410,425,435,,300,307.5,307.5,,300,310,310,,0,1025,590.4,8,2013,M,Open,897
2,Bilican Orhan,1978,BEL,119.83,0.5751,8,420,,,,330,330,,,307.5,327.5,335,,0,1077.5 -w,619.67,9,2015,M,Open,97
2,Bilyi Sergii,1990,UKR,92.52,0.6297,14,362.5,362.5,362.5,,247.5,255,260,,315,322.5,332.5,,0,945,595.1,9,2012,M,Open,1257
2,Bilyi Sergii,1990,UKR,92.4,0.6301,11,350,362.5,365,,260,270,277.5,,307.5,325,337.5,,0,980.0/wj/,617.5,9,2013,M,Open,864
3,Bilyi Sergii,1990,UKR,92.6,0.6295,20,355,367.5,377.5,,265,265,275,,322.5,337.5,350,,0,990,623.2,8,2014,M,Open,495
1,Bilyi Sergii,1990,UKR,92.15,0.631,15,375,375,387.5,,280,280,285,,330,345,350,,0,1022.5 -w,645.2,12,2015,M,Open,55
8,Blikaas Kim Andre,1990,NOR,92.75,0.629,6,232.5,242.5,250,,182.5,187.5,190,,290,302.5,307.5,,0,747.5,470.18,3,2014,M,Classic,704
7,Booyse Juan,1990,RSA,130,0.5656,2,270,270,287.5,,185,192.5,200,,240,255,265,,0,752.5,425.61,4,2014,M,Classic,741
9,Botha Michael,1989,RSA,64.32,0.8023,9,165,172.5,175,,130,137.5,140,,187.5,202.5,205,,0,515,413.19,2,2015,M,Classic,235
5,Bouafia Mohamed,1976,ALG,118.45,0.5767,16,330,355,356,,190,207.5,207.5,,320,340,352.5,,0,866,499.42,6,2013,M,Classic,1095
1,Bouafia Mohamed,1976,ALG,119.7,0.5753,3,350,370,375,,200,210,212.5,,332.5,350,360,,0,945.0/w/,543.66,12,2014,M,Classic,724
1,Bouafia Mohamed,1976,ALG,119.48,0.5755,15,350,370,370,,200,210,212.5,,332.5,345,365,,0,927.5,533.78,12,2015,M,Classic,307
8,Boughalem Ilyes,1987,ALG,136.2,0.5612,6,240,260,270,,240,260,260,,210,230,250,,0,710,398.45,3,2014,M,Classic,742
11,Boughalem Ilyes,1987,ALG,143.72,0.5567,19,270,290,310,,250,262.5,270.5,,260,280,295,,0,875.5,487.39,1,2015,M,Classic,333
13,Boulianne Joel,1986,CAN,103.2,0.6013,9,235,252.5,260,,185,197.5,202.5,,250,287.5,287.5,,0,700,420.91,1,2013,M,Classic,1083
2,Bowring Dean,1974,GBR,119.96,0.575,1,370,390,400,,265,272.5,277.5,,320,337.5,350,,0,1027.5,590.81,9,2013,M,Open,896
4,Bowring Dean,1974,GBR,119.52,0.5755,20,375,375,395,,285,292.5,297.5,,315,335,352.5,,0,1045.0 -w1,601.4,7,2014,M,Open,536
12,Bradwell Scott,1983,GBR,73.25,0.7246,10,170,185,195,,135,145,150,,200,220,220,,0,530,384.01,1,2013,M,Classic,1042
3,Branton Kelly,1986,CAN,149.81,0.5534,9,365,375,387.5,,240,250,255,,320,332.5,340,,0,970,536.8,8,2015,M,Classic,325
11,Brechtefeld Jim Kalinsky,1989,NRU,117.2,0.5782,18,300,320,320,,200,210,220,,240,250,250,,0,760,439.43,1,2013,M,Classic,1101
9,Buccioni Massimiliano,1976,ITA,82.69,0.669,9,277.5,290,300,,170,177.5,182.5,,270,285,292.5,,0,767.5,513.46,2,2015,M,Open,49
1,Bulanyy Mikhaylo,1975,UKR,92.92,0.6284,16,365,375,377.5,,245,245,247.5,,317.5,327.5,337.5,,0,960,603.3,12,2012,M,Open,1256
1,Bulanyy Mikhaylo,1975,UKR,92.65,0.6293,18,350,362.5,372.5,,250,260,260,,327.5,340,350,,0,982.5/c/,618.29,12,2013,M,Open,863
2,Bulanyy Mikhaylo,1975,UKR,93,0.6282,2,270,287.5,300,,190,205,215,,320,330,342.5,,0,847.5/w/,532.4,9,2014,M,Classic,698
2,Bulanyy Mikhaylo,1975,UKR,92.42,0.6301,11,365,375,380,,255,257.5,265,,345,355,365,,0,992.5 -w,625.37,9,2014,M,Open,494
